Gene ID,Gene Name,root,leaf,flower bud,flower,1 cm fruit,2 cm fruit,3 cm fruit,mature green fruit,breaker fruit,fruit at 10 days after the breaker stage
Solyc01g005000.2,Solyc01g005000.2,15,21,33,27,27,51,46,20,2,2
Solyc01g005010.2,Solyc01g005010.2,11,9,6,7,10,9,7,4,2,0.2
Solyc01g005020.2,Solyc01g005020.2,49,14,15,20,28,46,50,50,37,26
Solyc01g005030.2,Solyc01g005030.2,19,9,9,9,10,14,21,37,54,34
Solyc01g005040.2,Solyc01g005040.2,0.1,2,,0.2,0.2,0.1,0.8,,,
Solyc01g005050.2,Solyc01g005050.2,0.2,,85,53,,0.3,0.2,,,
Solyc01g005060.2,Solyc01g005060.2,3,2,4,5,26,13,5,8,4,3
Solyc01g005070.2,Solyc01g005070.2,0.2,,5,21,1,0.5,0.1,,,
Solyc01g005080.2,Solyc01g005080.2,48,17,29,77,28,23,13,36,20,11
Solyc01g005090.2,Solyc01g005090.2,30,,,,0.1,,,,,
Solyc01g005100.2,Solyc01g005100.2,22,21,10,13,14,15,13,17,9,10
Solyc01g005110.2,Solyc01g005110.2,38,14,52,34,25,14,17,21,29,32
Solyc01g005120.2,Solyc01g005120.2,68,5,33,192,13,17,5,18,6,6
Solyc01g005130.2,Solyc01g005130.2,64,37,9,13,13,15,43,26,20,38
Solyc01g005140.2,Solyc01g005140.2,11,0.1,0.1,2,,,0.1,8,17,24
Solyc01g005150.2,Solyc01g005150.2,8,2,2,0.4,1,0.4,0.4,0.7,0.3,
Solyc01g005160.2,Solyc01g005160.2,0.5,,0.1,0.1,0.4,0.5,,3,0.6,0.9
Solyc01g005170.1,Solyc01g005170.1,0.1,0.1,,,0.1,0.1,0.4,0.2,0.2,0.6
Solyc01g005190.1,Solyc01g005190.1,0.5,0.1,0.1,0.3,0.2,0.5,0.3,0.3,0.2,0.7
Solyc01g005200.1,Solyc01g005200.1,,,,0.1,0.1,0.5,0.1,0.1,0.3,0.1
Solyc01g005210.2,Solyc01g005210.2,73,25,12,23,19,39,70,37,71,42
Solyc01g005220.2,Solyc01g005220.2,8,4,3,9,1,6,7,26,20,18
Solyc01g005230.2,Solyc01g005230.2,8,0.9,2,0.6,0.1,0.2,0.3,0.3,0.1,
Solyc01g005240.2,Solyc01g005240.2,40,21,21,25,38,64,48,58,49,28
Solyc01g005250.2,Solyc01g005250.2,52,30,27,33,107,148,157,105,97,181
Solyc01g005260.2,Solyc01g005260.2,8,4,4,1,4,6,6,5,3,1
Solyc01g005270.2,Solyc01g005270.2,15,8,3,5,4,2,1,2,6,1
Solyc01g005280.2,Solyc01g005280.2,0.1,7,6,4,3,6,2,3,11,0.3
Solyc01g005290.2,Solyc01g005290.2,0.2,8,3,1,0.6,1,2,2,16,49
Solyc01g005300.2,Solyc01g005300.2,80,88,2,10,39,37,131,89,96,74
Solyc01g005310.2,Solyc01g005310.2,0.3,,22,0.4,,,,0.1,,
Solyc01g005320.2,Solyc01g005320.2,40,0.1,0.1,,0.2,0.2,0.1,0.1,0.1,
Solyc01g005330.2,Solyc01g005330.2,67,46,36,26,70,54,45,57,27,21
Solyc01g005340.2,Solyc01g005340.2,20,6,6,10,9,13,17,24,22,20
Solyc01g005350.2,Solyc01g005350.2,,2,5,4,0.2,0.2,0.1,,,
Solyc01g005360.2,Solyc01g005360.2,0.2,0.3,29,0.4,,0.1,,,,
Solyc01g005370.2,Solyc01g005370.2,7,2,12,9,7,7,12,16,36,20
Solyc01g005380.2,Solyc01g005380.2,8,7,4,6,11,16,14,14,11,20
Solyc01g005390.2,Solyc01g005390.2,22,0.4,3,3,0.5,1,0.7,4,2,3
Solyc01g005400.2,Solyc01g005400.2,6,14,13,5,2,0.9,1,0.2,0.3,1
Solyc01g005410.2,Solyc01g005410.2,19,19,7,10,10,15,9,18,2,0.1
Solyc01g005420.2,Solyc01g005420.2,3,25,6,2,1,2,0.4,3,0.3,
Solyc01g005430.2,Solyc01g005430.2,16,8,15,15,8,10,10,11,12,15
Solyc01g005440.2,Solyc01g005440.2,110,102,323,123,371,319,449,117,48,48
Solyc01g005450.2,Solyc01g005450.2,,4,3,2,6,7,6,4,2,1
Solyc01g005460.2,Solyc01g005460.2,10,4,16,5,20,7,5,0.8,0.2,0.1
Solyc01g005470.2,Solyc01g005470.2,23,46,16,13,11,10,5,75,40,3
Solyc01g005480.2,Solyc01g005480.2,11,3,4,4,6,12,12,10,6,7
Solyc01g005500.2,Solyc01g005500.2,3,2,0.4,0.1,0.1,,0.1,3,0.1,0.2
Solyc01g005510.2,Solyc01g005510.2,4,0.3,863,1489,2,0.3,5,3,0.7,0.1
Solyc01g005520.2,Solyc01g005520.2,3,258,53,96,37,43,23,28,21,31
Solyc01g005530.2,Solyc01g005530.2,24,13,12,12,9,13,8,11,8,7
Solyc01g005540.2,Solyc01g005540.2,10,23,9,10,18,17,14,10,7,18
Solyc01g005550.2,Solyc01g005550.2,112,74,64,78,112,87,57,47,23,18
Solyc01g005560.2,Solyc01g005560.2,768,329,193,237,89,138,106,181,404,167
Solyc01g005570.2,Solyc01g005570.2,51,44,47,36,44,37,27,29,31,16
Solyc01g005580.2,Solyc01g005580.2,55,33,30,34,36,40,32,31,54,34
Solyc01g005590.2,Solyc01g005590.2,77,40,51,159,34,41,23,66,7,3
Solyc01g005600.2,Solyc01g005600.2,65,27,25,52,24,37,40,50,59,68
Solyc01g005610.2,Solyc01g005610.2,,,0.3,1,,0.1,,,,
Solyc01g005620.2,Solyc01g005620.2,363,291,227,187,394,399,378,274,268,213
Solyc01g005630.1,Solyc01g005630.1,20,0.1,0.2,,,,,,,
Solyc01g005640.2,Solyc01g005640.2,27,10,18,19,17,20,20,22,29,34
Solyc01g005650.1,Solyc01g005650.1,,,0.2,,,,,,,
Solyc01g005660.1,Solyc01g005660.1,,,0.1,0.8,0.1,,0.2,,0.1,
Solyc01g005670.2,Solyc01g005670.2,6,3,3,3,3,4,5,6,4,4
Solyc01g005680.2,Solyc01g005680.2,15,8,0.8,0.3,0.2,,,,,
Solyc01g005690.2,Solyc01g005690.2,48,16,16,15,33,53,39,51,38,28
Solyc01g005700.2,Solyc01g005700.2,8,4,5,7,7,9,9,9,6,7
Solyc01g005710.2,Solyc01g005710.2,,0.4,1,,,,0.1,0.6,0.1,0.1
Solyc01g005720.2,Solyc01g005720.2,,0.7,2,0.4,0.1,,,0.5,0.1,
Solyc01g005730.2,Solyc01g005730.2,0.1,3,3,2,,0.1,,0.3,,
Solyc01g005740.2,Solyc01g005740.2,,,0.4,,,,,,0.3,2
Solyc01g005760.2,Solyc01g005760.2,6,3,4,7,0.2,1,1,15,9,16
Solyc01g005770.2,Solyc01g005770.2,1,0.4,1,2,2,2,6,0.7,0.4,1
Solyc01g005780.1,Solyc01g005780.1,0.4,0.1,0.2,,0.1,0.3,0.3,0.1,,
Solyc01g005790.1,Solyc01g005790.1,4,4,4,4,4,5,6,5,4,4
Solyc01g005800.2,Solyc01g005800.2,4,0.2,1,0.2,0.6,0.7,0.3,2,2,0.9
Solyc01g005810.2,Solyc01g005810.2,44,20,30,27,51,51,78,54,53,39
Solyc01g005820.2,Solyc01g005820.2,221,95,146,176,202,144,255,189,150,143
Solyc01g005830.2,Solyc01g005830.2,19,10,11,7,27,24,12,10,4,0.5
Solyc01g005840.2,Solyc01g005840.2,27,43,25,30,28,22,38,22,33,26
Solyc01g005850.1,Solyc01g005850.1,52,0.4,0.3,0.5,0.7,0.7,1,1,0.6,1
Solyc01g005860.2,Solyc01g005860.2,0.9,,,,0.2,0.3,0.6,,,
Solyc01g005870.1,Solyc01g005870.1,,2,6,2,0.1,0.1,0.1,0.3,0.1,
Solyc01g005880.1,Solyc01g005880.1,10,,0.1,,,0.1,,0.1,,0.1
Solyc01g005890.1,Solyc01g005890.1,5,,,,,0.1,0.1,,,
Solyc01g005900.2,Solyc01g005900.2,4,1,2,1,2,2,1,2,1,1
Solyc01g005910.2,Solyc01g005910.2,8,29,16,14,13,12,10,11,15,12
Solyc01g005920.2,Solyc01g005920.2,9,3,1,2,2,2,2,1,0.7,0.3
Solyc01g005930.2,Solyc01g005930.2,2,19,7,19,6,8,11,14,24,24
Solyc01g005940.2,Solyc01g005940.2,0.6,,,,,,,,,
Solyc01g005950.2,Solyc01g005950.2,54,29,43,36,45,50,40,46,49,31
Solyc01g005960.2,Solyc01g005960.2,43,23,40,44,33,30,22,23,28,33
Solyc01g005970.2,Solyc01g005970.2,22,4,6,3,4,5,6,7,4,4
Solyc01g005980.2,Solyc01g005980.2,16,5,15,11,11,15,11,8,2,0.8
Solyc01g005990.2,Solyc01g005990.2,60,123,69,24,49,34,13,14,0.9,0.3
Solyc01g006000.2,Solyc01g006000.2,11,5,8,8,9,11,16,14,10,10
Solyc01g006010.2,Solyc01g006010.2,13,4,4,6,5,11,10,14,12,21
Solyc01g006020.2,Solyc01g006020.2,22,159,28,25,67,70,106,47,49,34
Solyc01g006030.2,Solyc01g006030.2,15,5,9,16,9,11,12,12,14,14
Solyc01g006040.2,Solyc01g006040.2,12,4,4,7,6,9,8,10,12,12
Solyc01g006050.2,Solyc01g006050.2,0.7,0.1,3,5,,0.1,0.1,,,
Solyc01g006060.2,Solyc01g006060.2,71,2,2,1,4,2,0.5,,0.1,
Solyc01g006070.2,Solyc01g006070.2,3,0.4,4,0.1,,,0.1,,,
Solyc01g006080.1,Solyc01g006080.1,,,,0.1,0.2,,,,,
Solyc01g006090.2,Solyc01g006090.2,10,3,6,7,8,8,5,6,3,8
Solyc01g006100.2,Solyc01g006100.2,8,2,7,3,16,6,4,2,0.4,
Solyc01g006110.2,Solyc01g006110.2,74,39,42,57,55,55,53,64,71,102
Solyc01g006120.2,Solyc01g006120.2,105,44,60,105,59,86,94,93,91,101
Solyc01g006130.2,Solyc01g006130.2,12,118,56,51,58,54,75,78,44,41
Solyc01g006140.2,Solyc01g006140.2,1,2,2,2,2,2,0.5,1,0.4,0.6
Solyc01g006150.2,Solyc01g006150.2,12,32,24,25,31,27,23,16,5,20
Solyc01g006160.2,Solyc01g006160.2,331,105,204,187,479,309,383,340,309,231
Solyc01g006170.2,Solyc01g006170.2,29,9,9,14,32,23,10,24,14,43
Solyc01g006180.2,Solyc01g006180.2,12,3,4,6,11,12,7,12,6,10
Solyc01g006190.2,Solyc01g006190.2,65,38,48,59,38,37,47,54,69,69
